Wavelengt [nm],s1.3,s2.3,s3.3,s4.3
349.6,3.079959384244196e-23,4.5715840768824e-23,2.91790194234554e-23,5.402850485000623e-23
349.5,3.079959384244196e-23,4.551220673421899e-23,2.824975128895045e-23,5.421807855123432e-23
349.4,2.957170305802567e-23,4.5206755682311483e-23,2.6577068646841545e-23,5.327021004509385e-23
349.3,2.92647303619216e-23,4.4697670595798966e-23,2.6948775900643525e-23,5.2132767837725305e-23
349.2,2.916240612988691e-23,4.4494036561193965e-23,2.7134629527544516e-23,5.1943194136497213e-23
349.1,2.946937882599098e-23,4.429040252658895e-23,2.7506336781346496e-23,5.1753620435269127e-23
349.0,2.9060081897852223e-23,4.4494036561193965e-23,2.806389766204946e-23,5.1753620435269127e-23
348.9,2.8753109201748144e-23,4.4392219543891456e-23,2.7134629527544516e-23,5.1374473032812937e-23
348.8,2.8753109201748144e-23,4.3781317440076436e-23,2.7506336781346496e-23,5.0426604526672476e-23
348.7,2.844613650564407e-23,4.3475866388168926e-23,2.787804403514847e-23,5.0616178227900574e-23
348.6,2.8957757665817526e-23,4.306859831895891e-23,2.843560491585144e-23,5.0237030825444384e-23
348.5,2.8855433433782835e-23,4.276314726705141e-23,2.91790194234554e-23,5.0237030825444384e-23
348.4,2.92647303619216e-23,4.2864964284353905e-23,2.91790194234554e-23,5.0237030825444384e-23
348.3,2.8855433433782835e-23,4.276314726705141e-23,2.824975128895045e-23,5.0237030825444384e-23
348.2,2.844613650564407e-23,4.3170415336261415e-23,2.73204831544455e-23,5.099532563035675e-23
348.1,2.7729866881401233e-23,4.306859831895891e-23,2.6577068646841545e-23,5.1184899331584845e-23
348.0,2.711592148919309e-23,4.306859831895891e-23,2.6391215019940557e-23,5.1943194136497213e-23
347.9,2.691127302512371e-23,4.357768340547143e-23,2.6762922273742535e-23,5.23223415389534e-23
347.8,2.762754264936655e-23,4.357768340547143e-23,2.73204831544455e-23,5.156404673404103e-23
347.7,2.803683957750531e-23,4.398495147468145e-23,2.6762922273742535e-23,5.156404673404103e-23
347.6,2.7832191113435924e-23,4.367950042277393e-23,2.6577068646841545e-23,5.1374473032812937e-23
347.5,2.7422894185297166e-23,4.2864964284353905e-23,2.5647800512336596e-23,5.004745712421629e-23
347.4,2.6092679168846182e-23,4.225406218053889e-23,2.3789264243326698e-23,4.98578834229882e-23
347.3,2.578570647274211e-23,4.2050428145933884e-23,2.285999610882175e-23,4.9668309721760114e-23
347.2,2.558105800867273e-23,4.2559513232446395e-23,2.2302435228118778e-23,4.947873602053202e-23
347.1,2.58880307047768e-23,4.26613302497489e-23,2.323170336262373e-23,5.004745712421629e-23
347.0,2.578570647274211e-23,4.2559513232446395e-23,2.3045849735722737e-23,5.004745712421629e-23
346.9,2.568338224070742e-23,4.215224516323638e-23,2.3417556989524717e-23,4.8720441215619653e-23
346.8,2.599035493681149e-23,4.1643160076723865e-23,2.3789264243326698e-23,4.8341293813163463e-23
346.7,2.599035493681149e-23,4.1541343059421367e-23,2.3975117870227688e-23,4.796214641070728e-23
346.6,2.568338224070742e-23,4.1744977094026374e-23,2.4346825124029666e-23,4.796214641070728e-23
346.5,2.5274085312568656e-23,4.1744977094026374e-23,2.4346825124029666e-23,4.815172011193537e-23
346.4,2.5478733776638035e-23,4.1643160076723865e-23,2.4346825124029666e-23,4.8720441215619653e-23
346.3,2.47624641523952e-23,4.143952604211886e-23,2.267414248192076e-23,4.909958861807583e-23
346.2,2.5171761080533965e-23,4.143952604211886e-23,2.248828885501977e-23,4.9668309721760114e-23
346.1,2.568338224070742e-23,4.1235892007513857e-23,2.285999610882175e-23,4.9668309721760114e-23
346.0,2.5376409544603344e-23,4.093044095560634e-23,2.267414248192076e-23,4.853086751439156e-23
345.9,2.5171761080533965e-23,4.1235892007513857e-23,2.2302435228118778e-23,4.8341293813163463e-23
345.8,2.4967112616464585e-23,4.1235892007513857e-23,2.248828885501977e-23,4.739342530702301e-23
345.7,2.4557815688325818e-23,4.184679411132887e-23,2.211658160121779e-23,4.796214641070728e-23
345.6,2.4557815688325818e-23,4.1948611128631375e-23,2.2302435228118778e-23,4.8720441215619653e-23
345.5,2.5171761080533965e-23,4.1643160076723865e-23,2.3417556989524717e-23,4.815172011193537e-23
